functional,SCF_Fe_2,SCF_Fe_3
OPBE,-2638.78326851,-2638.54243967
B3PW91,-2638.76287857,-2638.49655537
svwn,-2630.7384926,-2630.55104245
HSE06,-2637.61702845,-2637.42762153
wB97,-2639.06049709,-2638.85060107
BMK,-2638.00907,-2637.80545471
wB97X,-2638.9113877,-2638.6149622
B97D,-2639.04209024,-2638.70767046
M06,-2638.59217742,-2638.36402641
bpw91,-2639.12664069,-2638.97342962
OTPSS,-2638.74200559,-2638.58435906
BLYP,-2639.01125936,-2638.8025945
B3LYP,-2639.32588937,-2639.13655742
M05,-2638.74072521,-2638.50996571
M08-HX,-2638.64998075,-2638.45328486
OLYP,-2639.02345181,-2638.78083064
PBE0,-2637.47835079,-2637.29859514
OVWN5,-2645.76130896,-2645.07109593
PBE,-2637.44191748,-2637.23660397
n12,-2638.7704837,-2638.50197009
wB97X-D,-2638.8469415,-2638.62140192
O3LYP,-2638.99961154,-2638.66053209
M06-HF,-2638.65755619,-2638.42355267
B2PLYP,-2636.4822236,-2636.24998909
X3LYP,-2638.7025571,-2638.49874572
SPW91,9999999.0,-2620.08122724
M05-2X,-2638.98934808,9999999.0
MPW1PW91,-2638.92597751,-2638.65613349
CAM-B3LYP,-2638.87599895,-2638.60823322
M06-2X,-2638.62277534,-2638.37424106
TPSSh,-2639.12939573,-2638.8542234
M06-L,-2638.98991087,-2638.82291275
