Functional,0,2,3
B2PLYP,-1721.04829762,-1720.91806834,-1720.65676518
B3LYP,-1722.22324027,-1722.09408649,-1721.83079846
B3PW91,-1721.99173787,-1721.8681182,-1721.60755309
B97D,-1722.40101653,-1722.26340917,-1722.02377842
BLYP,-1722.14975929,-1722.00599859,-1721.76902508
BMK,-1721.41144929,-1721.30690874,-1721.04018628
CAM-B3LYP,-1722.08384206,-1721.95920115,-1721.68737196
HSE06,-1721.49971976,-1721.38100181,-1721.11910409
M05,-1721.99327589,-1721.88247949,-1721.62853883
M05-2X,-1722.0214828,-1721.92457692,-1721.65397134
M06,-1721.91852769,-1721.79777068,-1721.54159366
M06-2X,-1721.96129215,-1721.82411904,-1721.55732693
M06-HF,,-1721.89537712,-1721.60280177
M06-L,-1722.05048571,-1721.93327123,-1721.6992952
M08-HX,-1721.93044621,-1721.83012502,-1721.55888465
MPW1PW91,-1722.1290135,-1722.00949968,-1721.74369313
O3LYP,-1722.18644025,-1722.06582979,-1721.80826172
OLYP,-1722.29731791,-1722.16775595,-1721.92558988
OPBE,-1722.17084079,-1722.04296051,-1721.79968951
OTPSS,-1722.18139285,-1722.05943151,-1721.81595557
OVWN5,-1725.28227234,-1725.07866597,-1724.80761657
PBE,-1721.43324939,-1721.28577189,-1721.04654814
PBE0,-1721.44363706,-1721.32731692,-1721.06529678
SPW91,-1713.56879298,-1713.45466197,-1713.25610521
TPSSh,-1722.14817782,-1722.0205182,-1721.76793028
UHF,-1718.44950769,-1718.45410458,-1718.23358743
X3LYP,-1721.9800812,-1721.82694334,-1721.56177802
bpw91,-1722.24199105,-1722.09443156,-1721.85216892
n12,-1722.24500474,-1722.11405876,-1721.86967998
svwn,-1718.08443397,-1717.9079303,-1717.66438901
wB97,-1722.18780275,-1722.04138593,-1721.76685085
wB97X,-1722.07111078,-1721.94829923,-1721.67606884
wB97X-D,-1722.050476,-1721.93049482,-1721.66034368
